관광지,유_무료,내국인_외국인,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,데이터기준일자
용평리조트(발왕산전망대 곤돌라),유료,내국인,2020,37812,29704,9465,5101,19545,31811,50872,73953,40479,78445,37659,12791,2022-10-04
용평리조트(스키장),유료,내국인,2020,120349,71629,23779,0,0,0,0,0,0,0,4271,10038,2022-10-04
용평리조트(유스호스텔),유료,내국인,2020,14144,5907,0,729,0,1046,5364,12825,68,834,0,141,2022-10-04
용평리조트(피크아일랜드),유료,내국인,2020,37321,16079,257,4477,2627,9977,22543,24377,7573,5469,60,0,2022-10-04
이효석문학관,유료,내국인,2020,3130,1719,0,0,1831,3050,5378,9301,1637,8896,3451,214,2022-10-04
켄싱턴플로라호텔(글램핑),유료,내국인,2020,72,87,64,59,575,0,6683,709,510,557,421,196,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,내국인,2020,403,620,500,600,2150,1300,307,114,650,579,1336,606,2022-10-04
평창 동강민물고기생태관,유료,내국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,내국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,내국인,2020,142,114,4,0,36,149,0,0,29,130,62,72,2022-10-04
한화리조트(컨벤션홀),유료,내국인,2020,3248,852,0,600,2150,1300,0,0,0,10084,6806,4781,2022-10-04
허브나라,유료,내국인,2020,0,0,0,2154,7116,5671,7577,9491,4277,7342,2654,720,2022-10-04
호렙오대산청소년수련원,유료,내국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,내국인,2020,0,0,2562,7524,11604,12177,12963,11568,10981,9400,9332,1359,2022-10-04
휘닉스파크(스키장),유료,내국인,2020,69901,36742,6409,9104,13336,11792,17644,23275,9539,19860,3536,8795,2022-10-04
휘닉스파크(워터파크),유료,내국인,2020,37920,15507,2742,7777,10774,12448,18472,23203,0,54,8073,4558,2022-10-04
국립두타산자연휴양림,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립평창청소년수련원,유료,외국인,2020,0,0,0,0,0,1,0,0,0,0,0,0,2022-10-04
무이예술관,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
백룡동굴,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
비엔나인형박물관,유료,외국인,2020,2,3,0,0,2,0,1,0,0,0,0,0,2022-10-04
삼양대관령목장,유료,외국인,2020,0,0,0,306,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(오션700),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
오대산국립공원(월정사),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(골프장),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(스키장),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(유스호스텔),유료,외국인,2020,156,36,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(피크아일랜드),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
이효석문학관,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2020,0,0,0,0,0,711,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창 동강민물고기생태관,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2020,201,112,0,0,0,0,0,0,0,0,0,0,2022-10-04
허브나라,유료,외국인,2020,0,0,0,0,0,0,0,0,0,24,12,7,2022-10-04
호렙오대산청소년수련원,유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(스키장),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,외국인,2020,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립두타산자연휴양림,유료,내국인,2021,133,0,0,0,0,25,8363,9768,6036,0,0,0,2022-10-04
국립평창청소년수련원,유료,내국인,2021,514,273,60,341,5002,1146,2884,3855,1355,0,0,0,2022-10-04
무이예술관,유료,내국인,2021,975,1143,876,1214,2168,1786,2778,4051,2145,0,0,0,2022-10-04
백룡동굴,유료,내국인,2021,0,87,192,362,907,1038,1957,2702,573,0,0,0,2022-10-04
비엔나인형박물관,유료,내국인,2021,497,1423,820,1379,2401,1422,2286,3638,1877,0,0,0,2022-10-04
삼양대관령목장,유료,내국인,2021,16729,18643,8937,13583,24872,24656,26952,35286,34353,0,0,0,2022-10-04
알펜시아리조트(골프장),유료,내국인,2021,0,1038,6984,17653,19424,22539,23426,22803,20505,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,내국인,2021,8570,13586,64,3809,7222,7284,11495,10188,8201,0,0,0,2022-10-04
알펜시아리조트(오션700),유료,내국인,2021,109,0,0,4303,9296,11148,13952,13520,8899,0,0,0,2022-10-04
오대산국립공원(월정사),유료,내국인,2021,20501,27572,16128,25057,39607,37010,48152,63007,36920,0,0,0,2022-10-04
용평리조트(골프장),유료,내국인,2021,0,133,6374,19858,22806,24846,25143,23361,21259,0,0,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,내국인,2021,15728,23201,13996,19563,47043,47328,75739,75178,55040,0,0,0,2022-10-04
용평리조트(스키장),유료,내국인,2021,23534,35901,14937,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(유스호스텔),유료,내국인,2021,124,1544,56,0,28,120,3086,2239,120,0,0,0,2022-10-04
용평리조트(피크아일랜드),유료,내국인,2021,0,0,0,0,0,0,16450,15992,7846,0,0,0,2022-10-04
이효석문학관,유료,내국인,2021,370,1486,1125,2096,4402,2521,6077,9600,11619,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,내국인,2021,32,0,465,404,706,588,741,730,446,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,내국인,2021,300,220,900,1388,890,530,540,440,439,0,0,0,2022-10-04
한국전통음식문화체험관,유료,내국인,2021,0,0,0,0,0,90,0,0,126,0,0,0,2022-10-04
한화리조트(컨벤션홀),유료,내국인,2021,19772,11964,7828,12344,8724,12476,31656,24956,11308,0,0,0,2022-10-04
허브나라,유료,내국인,2021,927,1222,1130,2999,6719,5811,5679,8633,5154,0,0,0,2022-10-04
휘닉스파크(골프장),유료,내국인,2021,0,0,0,16280,21932,25291,8840,8507,7350,0,0,0,2022-10-04
휘닉스파크(스키장),유료,내국인,2021,25450,34539,414,24890,43435,36424,22941,22977,17307,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,내국인,2021,40,16,0,15503,24374,23112,28877,30472,17221,0,0,0,2022-10-04
국립두타산자연휴양림,유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립평창청소년수련원,유료,외국인,2021,0,9,0,0,0,0,0,0,0,0,0,0,2022-10-04
무이예술관,유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
백룡동굴,유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
비엔나인형박물관,유료,외국인,2021,0,3,0,2,1,0,4,3,0,0,0,0,2022-10-04
삼양대관령목장,유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(골프장),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(오션700),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
오대산국립공원(월정사),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(골프장),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(스키장),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(유스호스텔),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(피크아일랜드),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
이효석문학관,유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
허브나라,유료,외국인,2021,12,20,25,14,15,13,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(스키장),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,외국인,2021,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
계방산(평창군),무료,내국인,2022,28278,18661,485,,,,,,,,,,2022-10-04
국립두타산자연휴양림,유료,내국인,2022,2869,2348,1364,,,,,,,,,,2022-10-04
국립평창청소년수련원,유료,내국인,2022,0,0,0,,,,,,,,,,2022-10-04
능경봉,무료,내국인,2022,2993,2376,2470,,,,,,,,,,2022-10-04
대관령 양떼목장,유료,내국인,2022,32939,23616,10741,,,,,,,,,,2022-10-04
대관령신재생에너지관,무료,내국인,2022,196,133,137,,,,,,,,,,2022-10-04
대관령하늘목장,유료,내국인,2022,7032,6437,3489,,,,,,,,,,2022-10-04
무이예술관,유료,내국인,2022,6211,3778,1228,,,,,,,,,,2022-10-04
백덕산(평창군),무료,내국인,2022,2442,2317,1909,,,,,,,,,,2022-10-04
백룡동굴,유료,내국인,2022,183,196,127,,,,,,,,,,2022-10-04
비엔나인형박물관,유료,내국인,2022,1842,1825,706,,,,,,,,,,2022-10-04
삼양대관령목장,유료,내국인,2022,29891,19567,6217,,,,,,,,,,2022-10-04
선자령,무료,내국인,2022,9756,5823,8181,,,,,,,,,,2022-10-04
스키점프대,유료,내국인,2022,2567,2493,486,,,,,,,,,,2022-10-04
알펜시아리조트(골프장),유료,내국인,2022,0,0,4701,,,,,,,,,,2022-10-04
알펜시아리조트(스키장),유료,내국인,2022,51536,34786,552,,,,,,,,,,2022-10-04
알펜시아리조트(오션700),유료,내국인,2022,9968,8585,151,,,,,,,,,,2022-10-04
오대산국립공원(월정사),유료,내국인,2022,56979,50317,36770,,,,,,,,,,2022-10-04
용평리조트(골프장),유료,내국인,2022,0,0,2645,,,,,,,,,,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,내국인,2022,36933,33182,11260,,,,,,,,,,2022-10-04
용평리조트(스키장),유료,내국인,2022,82612,60038,13049,,,,,,,,,,2022-10-04
용평리조트(유스호스텔),유료,내국인,2022,3924,1802,0,,,,,,,,,,2022-10-04
용평리조트(피크아일랜드),유료,내국인,2022,4388,3949,758,,,,,,,,,,2022-10-04
이효석문학관,유료,내국인,2022,1568,1297,984,,,,,,,,,,2022-10-04
켄싱턴플로라호텔(글램핑),유료,내국인,2022,0,0,180,,,,,,,,,,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,내국인,2022,100,320,350,,,,,,,,,,2022-10-04
한국전통음식문화체험관,유료,내국인,2022,14,245,36,,,,,,,,,,2022-10-04
한화리조트(컨벤션홀),유료,내국인,2022,940,308,701,,,,,,,,,,2022-10-04
허브나라,유료,내국인,2022,1087,910,694,,,,,,,,,,2022-10-04
휘닉스파크(골프장),유료,내국인,2022,0,0,3409,,,,,,,,,,2022-10-04
휘닉스파크(스키장),유료,내국인,2022,113295,89734,6640,,,,,,,,,,2022-10-04
휘닉스파크(워터파크),유료,내국인,2022,24343,18523,5639,,,,,,,,,,2022-10-04
국립두타산자연휴양림,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
국립평창청소년수련원,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
무이예술관,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
백룡동굴,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
비엔나인형박물관,유료,외국인,2022,0,2,1,,,,,,,,,,2022-10-04
삼양대관령목장,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
알펜시아리조트(골프장),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
알펜시아리조트(스키장),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
알펜시아리조트(오션700),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
오대산국립공원(월정사),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
용평리조트(골프장),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
용평리조트(스키장),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
용평리조트(유스호스텔),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
용평리조트(피크아일랜드),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
이효석문학관,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
한국전통음식문화체험관,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
허브나라,유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
휘닉스파크(골프장),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
휘닉스파크(스키장),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
휘닉스파크(워터파크),유료,외국인,2022,0,0,0,,,,,,,,,,2022-10-04
